config,p,draw,stationary,max_mod
naive (sd = 1),3,1,FALSE,1.0222626433777915
naive (sd = 1),3,2,FALSE,3.016738862463548
naive (sd = 1),3,3,FALSE,2.1292700979193477
naive (sd = 1),3,4,FALSE,1.570969991810532
naive (sd = 1),3,5,FALSE,1.0316819566275781
naive (sd = 1),3,6,FALSE,0.8998545921590309
naive (sd = 1),3,7,FALSE,1.370820178587206
naive (sd = 1),3,8,TRUE,42.097279319629045
naive (sd = 1),3,9,FALSE,0.8685060203344004
naive (sd = 1),3,10,FALSE,0.9800464757000596
naive (sd = 1),3,11,FALSE,1.748622599385056
naive (sd = 1),3,12,FALSE,1.174694838510081
naive (sd = 1),3,13,FALSE,1.555654951718163
naive (sd = 1),3,14,FALSE,1.176281429339843
naive (sd = 1),3,15,FALSE,3.6548998143232976
naive (sd = 1),3,16,FALSE,1.3621482538303304
naive (sd = 1),3,17,TRUE,1.6322732458082696
naive (sd = 1),3,18,FALSE,1.628784323655575
naive (sd = 1),3,19,TRUE,4.288669986275491
naive (sd = 1),3,20,FALSE,2.2032759427946
naive (sd = 1),3,21,FALSE,4.738052026180244
naive (sd = 1),3,22,FALSE,10.717611089545871
naive (sd = 1),3,23,FALSE,2.7847778039323337
naive (sd = 1),3,24,TRUE,1.060560103154746
naive (sd = 1),3,25,FALSE,64.25664498557414
naive (sd = 1),3,26,FALSE,1.7896016770765044
naive (sd = 1),3,27,TRUE,11.07565359376419
naive (sd = 1),3,28,FALSE,1.1630583852727194
naive (sd = 1),3,29,TRUE,6.52512364778641
naive (sd = 1),3,30,FALSE,1.6531232257108253
naive (sd = 1),3,31,FALSE,1.0814096445217898
naive (sd = 1),3,32,FALSE,1.6249517186081475
naive (sd = 1),3,33,FALSE,6.4987906311901025
naive (sd = 1),3,34,FALSE,1.6357131278294754
naive (sd = 1),3,35,FALSE,1.1984125228112068
naive (sd = 1),3,36,FALSE,1.5040898854147082
naive (sd = 1),3,37,FALSE,7.454680248563932
naive (sd = 1),3,38,FALSE,1.0730139489707442
naive (sd = 1),3,39,FALSE,1.4506658559387848
naive (sd = 1),3,40,TRUE,2.7769528296277324
naive (sd = 1),3,41,TRUE,5.556004637501049
naive (sd = 1),3,42,FALSE,1.4963944458437657
naive (sd = 1),3,43,TRUE,2.5765826886366376
naive (sd = 1),3,44,FALSE,3.6961883499938186
naive (sd = 1),3,45,FALSE,2.7039630128956
naive (sd = 1),3,46,FALSE,1.581786874694883
naive (sd = 1),3,47,TRUE,4.933619007960774
naive (sd = 1),3,48,FALSE,1.7653618797826964
naive (sd = 1),3,49,FALSE,2.654449734847109
naive (sd = 1),3,50,FALSE,1.179224288040506
naive (sd = 1),3,51,FALSE,0.9094712987554366
naive (sd = 1),3,52,FALSE,1.0757437854722425
naive (sd = 1),3,53,FALSE,1.5822585262512088
naive (sd = 1),3,54,FALSE,0.8845294330092469
naive (sd = 1),3,55,FALSE,1.2748414969509934
naive (sd = 1),3,56,FALSE,1.2890324166340317
naive (sd = 1),3,57,FALSE,1.6747940082336994
naive (sd = 1),3,58,TRUE,1.5089855170719015
naive (sd = 1),3,59,TRUE,1.5089855170719015
naive (sd = 1),3,60,TRUE,1.2936089579635455
naive (sd = 1),3,61,TRUE,1.2459329802731929
naive (sd = 1),3,62,FALSE,0.9239189155261726
naive (sd = 1),3,63,FALSE,1.0201525254253165
naive (sd = 1),3,64,TRUE,1.1711795565095435
naive (sd = 1),3,65,FALSE,1.1327722669973186
naive (sd = 1),3,66,TRUE,1.2200379589199433
naive (sd = 1),3,67,FALSE,10.85017720073145
naive (sd = 1),3,68,FALSE,92.53619222249174
naive (sd = 1),3,69,FALSE,7.959768284310426
naive (sd = 1),3,70,FALSE,5.067505350006707
naive (sd = 1),3,71,FALSE,2.52400666224783
naive (sd = 1),3,72,FALSE,1.1228179710424788
naive (sd = 1),3,73,FALSE,0.9531501256524576
naive (sd = 1),3,74,FALSE,0.9366606437727847
naive (sd = 1),3,75,FALSE,1.3869148176425
naive (sd = 1),3,76,FALSE,2.055881474347593
naive (sd = 1),3,77,FALSE,1.2862973398731536
naive (sd = 1),3,78,FALSE,0.9138614824849121
naive (sd = 1),3,79,FALSE,0.7519788000919562
naive (sd = 1),3,80,TRUE,2.234621953962813
naive (sd = 1),3,81,TRUE,4.143291797626695
naive (sd = 1),3,82,FALSE,2.1439123246801466
naive (sd = 1),3,83,TRUE,2.2889907277335046
naive (sd = 1),3,84,TRUE,1.5707989843115426
naive (sd = 1),3,85,FALSE,1.0679188397831603
naive (sd = 1),3,86,FALSE,1.4816235773099904
naive (sd = 1),3,87,FALSE,7.130779120844369
naive (sd = 1),3,88,FALSE,4.4452340432486
naive (sd = 1),3,89,TRUE,1.2003074345793678
naive (sd = 1),3,90,FALSE,4.447879583360412
naive (sd = 1),3,91,FALSE,1.1218828310400009
naive (sd = 1),3,92,FALSE,2.336361691693794
naive (sd = 1),3,93,TRUE,15.824136341971311
naive (sd = 1),3,94,FALSE,1.052706961937261
naive (sd = 1),3,95,FALSE,1.2135644289436431
naive (sd = 1),3,96,TRUE,1.641163320721156
naive (sd = 1),3,97,TRUE,4.169621443785093
naive (sd = 1),3,98,FALSE,1.1485955395766487
naive (sd = 1),3,99,TRUE,1.2090716941373707
naive (sd = 1),3,100,FALSE,1.6065802021011726
naive (sd = 1),3,101,FALSE,1.189142996322652
naive (sd = 1),3,102,FALSE,2.4272453417991615
naive (sd = 1),3,103,FALSE,1.7173658360448647
naive (sd = 1),3,104,FALSE,1.7173658360448647
naive (sd = 1),3,105,FALSE,0.9403531281368708
naive (sd = 1),3,106,FALSE,1.0532461187951807
naive (sd = 1),3,107,FALSE,1.294489244328095
naive (sd = 1),3,108,FALSE,1.0384463610395027
naive (sd = 1),3,109,FALSE,1.0974740652168202
naive (sd = 1),3,110,FALSE,1.2364865118749762
naive (sd = 1),3,111,FALSE,3.3264540522048494
naive (sd = 1),3,112,FALSE,0.9307142259849899
naive (sd = 1),3,113,FALSE,1.015334878014941
naive (sd = 1),3,114,TRUE,1.4288830247711228
naive (sd = 1),3,115,FALSE,2.6476505750606587
naive (sd = 1),3,116,FALSE,2.558104282840872
naive (sd = 1),3,117,TRUE,5.996672354354649
naive (sd = 1),3,118,TRUE,5.996672354354649
naive (sd = 1),3,119,FALSE,0.9519824002501339
naive (sd = 1),3,120,FALSE,0.9235269810945933
naive (sd = 1),3,121,FALSE,0.8768171109544466
naive (sd = 1),3,122,FALSE,1.2354120421026644
naive (sd = 1),3,123,FALSE,1.1098972659610022
naive (sd = 1),3,124,FALSE,1.0650484126768427
naive (sd = 1),3,125,TRUE,4.099997915895501
naive (sd = 1),3,126,FALSE,2.6102013630468734
naive (sd = 1),3,127,TRUE,1.3836874350786712
naive (sd = 1),3,128,FALSE,0.9929988024202868
naive (sd = 1),3,129,FALSE,1.0494564546459961
naive (sd = 1),3,130,FALSE,0.9551037033450686
naive (sd = 1),3,131,FALSE,1.3435806742999303
naive (sd = 1),3,132,FALSE,1.8125368588848536
naive (sd = 1),3,133,FALSE,1.651882960181195
