config,p,n_draws,n_finite,prop_stat,mcse,divergences,max_rhat
naive (sd = 1),3,10000,10000,0.1938,0.003952740315274961,4,1.0007684400332195
naive (sd = 0.5),3,10000,10000,0.6482,0.004775319465753051,1,1.000993743911935
ARR2 0.60 flat,3,10000,10000,0.6384,0.0048046377594986285,1,1.0007362240711986
ARR2 0.60 Minn.,3,10000,10000,0.6939,0.004608717717543569,360,1.000852188309088
ARR2 0.33 Minn.,3,10000,10000,0.8471,0.0035989108074527217,309,1.0008603349845577
naive (sd = 1),10,10000,10000,3e-4,1.7317909804592468e-4,0,1.000912889697668
naive (sd = 0.5),10,10000,10000,0.0219,0.001463570633758412,1,1.0006016285752792
ARR2 0.60 flat,10,10000,10000,0.5081,0.00499934385694763,0,1.000501082793833
ARR2 0.60 Minn.,10,10000,10000,0.6235,0.0048450773987625834,443,1.0006511251888999
ARR2 0.33 Minn.,10,10000,10000,0.8214,0.00383017023120383,387,1.000947422060967
naive (sd = 1),15,10000,10000,0,0,0,1.0015864432078663
naive (sd = 0.5),15,10000,10000,8e-4,2.827295527531567e-4,0,1.00087389273427
ARR2 0.60 flat,15,10000,10000,0.4788,0.004995503578219117,0,1.0006545616786457
ARR2 0.60 Minn.,15,10000,10000,0.5953,0.004908338924727998,426,1.0007840781425974
ARR2 0.33 Minn.,15,10000,10000,0.8018,0.0039864365039468524,308,1.0009773806781912
