,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-95.3848,0.0650812,2.74644,2.68533,-100.282,-95.0912,-91.4046,1825.98,2865.42,36.3394,1.00251
c[1],2.93285,0.00659441,0.335959,0.341144,2.38229,2.92918,3.48015,2610.75,2501.75,51.9572,1.00052
c[2],1.48739,0.00466948,0.228751,0.2322,1.11364,1.48719,1.86095,2411.59,2846.16,47.9937,1.00036
"A[1,1,1]",0.481838,0.00132268,0.0691409,0.067892,0.367871,0.481504,0.595534,2762.31,2634.56,54.9734,1.00111
"A[1,1,2]",-0.547283,0.00162234,0.103436,0.105985,-0.718655,-0.548001,-0.378211,4099.92,3160.71,81.5936,1.00032
"A[1,2,1]",-0.118788,0.000851905,0.045998,0.0453587,-0.193266,-0.119852,-0.0421314,2978.52,2698.35,59.2764,1.00133
"A[1,2,2]",0.282151,0.00112575,0.0705756,0.0696364,0.166627,0.281073,0.399705,3993.2,3393.84,79.4697,1.00006
"A[2,1,1]",-0.0714409,0.00111217,0.0642007,0.0645542,-0.176341,-0.0721489,0.0326633,3330.44,2945.79,66.28,1.00112
"A[2,1,2]",-0.0414303,0.00157292,0.0922313,0.0909577,-0.196213,-0.0432978,0.107112,3478.0,2947.14,69.2166,1.00017
"A[2,2,1]",-0.0559951,0.00075398,0.0411215,0.0406577,-0.123265,-0.0553981,0.0102887,3023.94,2859.8,60.1804,1.0005
"A[2,2,2]",0.0142198,0.00120158,0.0699471,0.0689288,-0.102292,0.0141447,0.130265,3455.01,2672.61,68.7592,1.00041
sigma[1],0.943646,0.000686227,0.0469141,0.0456974,0.869359,0.941342,1.02505,4899.54,3126.65,97.5071,1.00317
sigma[2],0.640973,0.000495434,0.0329675,0.03279,0.590541,0.639677,0.696513,4671.9,2755.7,92.9769,1.00098
"Rho[1,1]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"Rho[1,2]",0.219461,0.000937274,0.0671503,0.0671651,0.107135,0.219945,0.328306,5125.55,2886.64,102.005,1.00025
"Rho[2,1]",0.219461,0.000937274,0.0671503,0.0671651,0.107135,0.219945,0.328306,5125.55,2886.64,102.005,1.00025
"Rho[2,2]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
lambda,0.421447,0.00168927,0.105191,0.097846,0.279751,0.405531,0.612247,4201.02,2875.77,83.6058,1.00027
theta,0.611371,0.00275367,0.158251,0.175468,0.358389,0.609799,0.875184,3251.92,2141.78,64.7175,0.999766
