lambda,theta
0.34829283,0.8681422
0.33667846,0.59331359
0.27104412,0.76110508
0.53407992,0.44829709
0.34390291,0.64320568
0.47448249,0.78883847
0.28463857,0.70411397
0.39731192,0.55809085
0.37236863,0.56801953
0.48393321,0.71846773
0.2138099,0.65220128
0.33163518,0.93273297
0.36512729,0.50020325
0.28845341,0.70123422
0.28468049,0.83228488
0.33457572,0.95134368
0.32304587,0.34154926
0.43536786,0.6031615
0.33891863,0.82318043
0.31481017,0.85618807
0.30522487,0.86235101
0.32130523,0.83113016
0.44852247,0.45378144
0.33970349,0.83807445
0.32745112,0.64786388
0.27186521,0.82085741
0.3556757,0.80862427
0.30217045,0.4251911
0.42561266,0.58104157
0.35595042,0.43401721
0.27791184,0.85868804
0.4013214,0.72609321
0.28838366,0.53838581
0.33297019,0.46653224
0.29253634,0.7692403
0.28047885,0.65715163
0.45304842,0.74060703
0.39614664,0.69828107
0.38758437,0.69336333
0.27143674,0.65650797
0.3618444,0.62803531
0.36028682,0.55260624
0.27556104,0.61705404
0.41858673,0.40481743
0.44646602,0.45303246
0.47045292,0.26117765
0.35247759,0.74094258
0.39748559,0.55020948
0.23659047,0.62521293
0.25149722,0.62571744
0.36375142,0.76935279
0.36934525,0.66569122
0.30442983,0.6678515
0.27066942,0.82573286
0.32587659,0.72433292
0.44024461,0.41088059
0.51922929,0.66596831
0.34589665,0.44331007
0.32430663,0.47094397
0.42421798,0.69508655
0.37598295,0.38065467
0.34806573,0.68161821
0.32094276,0.42104697
0.369828,0.54821215
0.3046492,0.405103
0.25928785,0.68080037
0.25910059,0.61460238
0.49624103,0.67353972
0.57417614,0.72460828
0.42805674,0.55368763
0.37997383,0.63676909
0.41605935,0.59677243
0.49032875,0.55843634
0.19953573,0.63731782
0.57457841,0.5080274
0.30104826,0.7685557
0.32359943,0.52757104
0.27718323,0.81416247
0.38367051,0.81553321
0.26010857,0.56493901
0.37520967,0.72115147
0.40019488,0.69725764
0.33263531,0.5277345
0.34966461,0.58034814
0.36745753,0.42947428
0.263132,0.70350942
0.2582168,0.80910209
0.27353015,0.86248341
0.39432494,0.42892949
0.28083206,0.65931713
0.31239936,0.66781173
0.27878397,0.84539563
0.30390119,0.69216732
0.33938199,0.48560064
0.32701522,0.81118699
0.39983175,0.42578543
0.35311717,0.73461287
0.32030835,0.57995658
0.36258381,0.73604171
0.30253275,0.56605144
0.30628963,0.7096452
0.22911955,0.71421016
0.38071173,0.6960507
0.33919733,0.47644364
0.33048368,0.69488273
0.37692803,0.82886556
0.34404368,0.94968744
0.27646571,0.47904685
0.35403604,0.74107401
0.37822543,0.46536147
0.36858744,0.71906541
0.37435103,0.73703212
0.3879002,0.51592313
0.32413771,0.87148521
0.28523359,0.70409742
0.32109923,0.49188691
